claim_id,family,status,claim,source,evidence_mode,readiness,measurement,result,evidence_artifacts,caveats,next_check,wandb,hf
ch08-either-matching-double-not-two-to-one,stopper ownership,contradicted,The straight-off two-to-one ownership prior still holds when either of two matching doubles can set the bidder.,scratch/winning42/winning42.with_figures.md:3318-3324; scratch/winning42/winning42.with_figures.md:3799-3811; wiki/experiments/w42-84-claim-validation.md,exact hypergeometric ownership check,enumeration; report-only,Compare opponent-team ownership for one named matching double versus either of two matching doubles.,Named double opponent-team ownership = 66.666667%; either of two matching doubles = 90.0%.,w42/eighty_four_claim_validation/defender_last_trick_weapon_distribution.csv,"Contradicts only the broader two-matching-double reading, not the source's named-double case.",Model final-off cases explicitly and separate named stopper from any-stopper claims.,https://wandb.ai/jasonyandell-forge42/w42/runs/vmta9zew,not applicable
ch07-protected-one-off-shape-frequency,84 bidder/defender,underpowered,Typical 84 candidate shapes with one protected off are available often enough to support the bidding advice.,scratch/winning42/winning42.with_figures.md:3122-3154; wiki/experiments/w42-84-claim-validation.md,exact static enumeration,enumeration; oracle,Count hand/declaration pairs with one off and protected one-off structure.,One-off candidate shape = 2.173913% of hand/declaration pairs; protected one off = 1.588629%.,w42/eighty_four_claim_validation/bidder_shape_summary.csv,Shape existence does not prove an 84 bid is value-positive.,Run make/set rollouts for score-gated 84 candidate states.,https://wandb.ai/jasonyandell-forge42/w42/runs/vmta9zew,not applicable
ch04-safe-partner-count-donation,partner support,underpowered,Safe count donation to partner versus opponent-winning count donation,wiki/experiments/winning42-ch04-partner-support.md; w42/partner_support_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"preferred_n=25, alternative_n=79, paired_n=0, paired_delta=not applicable",w42/partner_support_claim_validation/claim_proxy_stats.csv; w42/partner_support_claim_validation/summary.json,"Proxy tags do not fully encode bidder-partner intent, hidden risk, or future forcedness.",Implement direct partner-intent and forcedness detectors before moving statuses broadly.,not applicable,not applicable
ch04-low-trump-trap-against-count-dump,partner support,underpowered,Partner donation without trump-in versus count dumped while trumping in,wiki/experiments/winning42-ch04-partner-support.md; w42/partner_support_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"preferred_n=24, alternative_n=7, paired_n=0, paired_delta=not applicable",w42/partner_support_claim_validation/claim_proxy_stats.csv; w42/partner_support_claim_validation/summary.json,"Proxy tags do not fully encode bidder-partner intent, hidden risk, or future forcedness.",Implement direct partner-intent and forcedness detectors before moving statuses broadly.,not applicable,not applicable
ch04-lead-capture-for-support,partner support,underpowered,Winning the current trick versus non-winning alternatives,wiki/experiments/winning42-ch04-partner-support.md; w42/partner_support_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"preferred_n=56, alternative_n=1463, paired_n=43, paired_delta=2.219728",w42/partner_support_claim_validation/claim_proxy_stats.csv; w42/partner_support_claim_validation/summary.json,"Proxy tags do not fully encode bidder-partner intent, hidden risk, or future forcedness.",Implement direct partner-intent and forcedness detectors before moving statuses broadly.,not applicable,not applicable
ch04-effective-double-highest-remaining,partner support,contradicted,Virtual boss off-suit tile versus lower live off-suit tile,wiki/experiments/winning42-ch04-partner-support.md; w42/partner_support_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"preferred_n=60, alternative_n=541, paired_n=21, paired_delta=2.299316",w42/partner_support_claim_validation/claim_proxy_stats.csv; w42/partner_support_claim_validation/summary.json,"Proxy tags do not fully encode bidder-partner intent, hidden risk, or future forcedness.",Implement direct partner-intent and forcedness detectors before moving statuses broadly.,not applicable,not applicable
ch04-lead-away-from-count-damage,partner support,underpowered,Low-liability off lead versus count-exposing off lead,wiki/experiments/winning42-ch04-partner-support.md; w42/partner_support_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"preferred_n=82, alternative_n=157, paired_n=22, paired_delta=-2.227684",w42/partner_support_claim_validation/claim_proxy_stats.csv; w42/partner_support_claim_validation/summary.json,"Proxy tags do not fully encode bidder-partner intent, hidden risk, or future forcedness.",Implement direct partner-intent and forcedness detectors before moving statuses broadly.,not applicable,not applicable
ch04-avoid-disruptive-partner-trump-lead,partner support,underpowered,Off lead versus trump lead from lead position,wiki/experiments/winning42-ch04-partner-support.md; w42/partner_support_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"preferred_n=239, alternative_n=59, paired_n=36, paired_delta=0.362235",w42/partner_support_claim_validation/claim_proxy_stats.csv; w42/partner_support_claim_validation/summary.json,"Proxy tags do not fully encode bidder-partner intent, hidden risk, or future forcedness.",Implement direct partner-intent and forcedness detectors before moving statuses broadly.,not applicable,not applicable
ch05-pounce-count-before-certainty,setter defense,underpowered,Count into opponent-currently-winning window versus non-count in same window,wiki/experiments/winning42-ch05-setter-defense.md; wiki/experiments/winning42-ch12-advanced-bidding-playing.md; w42/setter_defense_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"directness=proxy-only, preferred_n=79, alternative_n=326, paired_n=52",w42/setter_defense_claim_validation/claim_proxy_stats.csv; w42/setter_defense_claim_validation/summary.json,"The current v0 corpus lacks direct setter-role, bidder-off, void-creation, trump-set, and bid-margin detectors.",Implement direct setter-pounce labels and set-threshold accounting.,not applicable,not applicable
ch05-extra-count-to-set,setter defense,underpowered,Ten-count pounce proxy versus five-count pounce proxy,wiki/experiments/winning42-ch05-setter-defense.md; wiki/experiments/winning42-ch12-advanced-bidding-playing.md; w42/setter_defense_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"directness=proxy-only, preferred_n=30, alternative_n=49, paired_n=4",w42/setter_defense_claim_validation/claim_proxy_stats.csv; w42/setter_defense_claim_validation/summary.json,"The current v0 corpus lacks direct setter-role, bidder-off, void-creation, trump-set, and bid-margin detectors.",Implement direct setter-pounce labels and set-threshold accounting.,not applicable,not applicable
ch05-count-calling-lead,setter defense,underpowered,High-liability count-calling lead versus low-liability lead,wiki/experiments/winning42-ch05-setter-defense.md; wiki/experiments/winning42-ch12-advanced-bidding-playing.md; w42/setter_defense_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"directness=broad-proxy, preferred_n=254, alternative_n=143, paired_n=51",w42/setter_defense_claim_validation/claim_proxy_stats.csv; w42/setter_defense_claim_validation/summary.json,"The current v0 corpus lacks direct setter-role, bidder-off, void-creation, trump-set, and bid-margin detectors.",Implement direct setter-pounce labels and set-threshold accounting.,not applicable,not applicable
ch05-count-protection,setter defense,underpowered,Protected count action versus unprotected count action,wiki/experiments/winning42-ch05-setter-defense.md; wiki/experiments/winning42-ch12-advanced-bidding-playing.md; w42/setter_defense_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"directness=broad-proxy, preferred_n=41, alternative_n=122, paired_n=8",w42/setter_defense_claim_validation/claim_proxy_stats.csv; w42/setter_defense_claim_validation/summary.json,"The current v0 corpus lacks direct setter-role, bidder-off, void-creation, trump-set, and bid-margin detectors.",Implement direct setter-pounce labels and set-threshold accounting.,not applicable,not applicable
ch05-trump-rich-count-intervention,setter defense,underpowered,Trumping in on count versus holding count while opponent currently wins,wiki/experiments/winning42-ch05-setter-defense.md; wiki/experiments/winning42-ch12-advanced-bidding-playing.md; w42/setter_defense_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"directness=proxy-only, preferred_n=7, alternative_n=73, paired_n=2",w42/setter_defense_claim_validation/claim_proxy_stats.csv; w42/setter_defense_claim_validation/summary.json,"The current v0 corpus lacks direct setter-role, bidder-off, void-creation, trump-set, and bid-margin detectors.",Implement direct setter-pounce labels and set-threshold accounting.,not applicable,not applicable
ch12-setter-pounce-high-bid-off,setter defense,underpowered,Opponent count pressure present versus absent,wiki/experiments/winning42-ch05-setter-defense.md; wiki/experiments/winning42-ch12-advanced-bidding-playing.md; w42/setter_defense_claim_validation/claim_proxy_stats.csv,proxy regret analysis,w42; oracle,Bootstrap CIs over available eval-corpus proxy buckets.,"directness=broad-proxy, preferred_n=123, alternative_n=282, paired_n=0",w42/setter_defense_claim_validation/claim_proxy_stats.csv; w42/setter_defense_claim_validation/summary.json,"The current v0 corpus lacks direct setter-role, bidder-off, void-creation, trump-set, and bid-margin detectors.",Implement direct setter-pounce labels and set-threshold accounting.,not applicable,not applicable
ch03-trump-pull-sequencing,bidder sequencing,underpowered,"Proxy evidence improves tiny-model oracle alignment, but no trump-first/off-first counterfactual was run.",wiki/experiments/winning42-ch03-bidder-play.md; w42/bidder_sequencing_claim_validation/claim_summary.csv,secondary model-bucket analysis,w42; oracle,Proxy buckets: global:current_trick_pressure;action:trick_relation;action:suit_pressure,"weighted_rows=1307, delta_mean_regret=-1.017278, delta_match_rate=0.078806",w42/bidder_sequencing_claim_validation/claim_summary.csv; w42/bidder_sequencing_claim_validation/summary.json,Proxy bucket gains validate tag usefulness at most; paired sequence counterfactuals are missing.,Run trump-first/off-first paired rollouts and late-endgame proof checks.,not applicable,not applicable
ch03-reentry-preservation,bidder sequencing,underpowered,Available buckets touch hand/protection structure but do not encode final-trump-spent-before-off-clear.,wiki/experiments/winning42-ch03-bidder-play.md; w42/bidder_sequencing_claim_validation/claim_summary.csv,secondary model-bucket analysis,w42; oracle,Proxy buckets: action:double_protection;global:hand_shape;action:hand_shape,"weighted_rows=1088, delta_mean_regret=-1.045158, delta_match_rate=0.082721",w42/bidder_sequencing_claim_validation/claim_summary.csv; w42/bidder_sequencing_claim_validation/summary.json,Proxy bucket gains validate tag usefulness at most; paired sequence counterfactuals are missing.,Run trump-first/off-first paired rollouts and late-endgame proof checks.,not applicable,not applicable
ch03-off-timing,bidder sequencing,underpowered,Proxy buckets improve alignment; no paired early-off versus trump-first rollout exists in the artifacts.,wiki/experiments/winning42-ch03-bidder-play.md; w42/bidder_sequencing_claim_validation/claim_summary.csv,secondary model-bucket analysis,w42; oracle,Proxy buckets: action:suit_pressure;action:double_protection;global:void_summary,"weighted_rows=917, delta_mean_regret=-0.898029, delta_match_rate=0.078517",w42/bidder_sequencing_claim_validation/claim_summary.csv; w42/bidder_sequencing_claim_validation/summary.json,Proxy bucket gains validate tag usefulness at most; paired sequence counterfactuals are missing.,Run trump-first/off-first paired rollouts and late-endgame proof checks.,not applicable,not applicable
ch03-count-inventory,bidder sequencing,context-limited,"Count buckets show the strongest proxy gains, but this validates tag usefulness rather than the book's full sequencing rule.",wiki/experiments/winning42-ch03-bidder-play.md; w42/bidder_sequencing_claim_validation/claim_summary.csv,secondary model-bucket analysis,w42; oracle,Proxy buckets: action:count_pressure;global:public_count;global:unseen_count_by_pip,"weighted_rows=1117, delta_mean_regret=-1.082058, delta_match_rate=0.080573",w42/bidder_sequencing_claim_validation/claim_summary.csv; w42/bidder_sequencing_claim_validation/summary.json,Proxy bucket gains validate tag usefulness at most; paired sequence counterfactuals are missing.,Run trump-first/off-first paired rollouts and late-endgame proof checks.,not applicable,not applicable
ch03-laydown-correctness,bidder sequencing,not-yet-tested,No deterministic laydown proof checker or late-endgame enumeration artifact exists in the available w42 outputs.,wiki/experiments/winning42-ch03-bidder-play.md; w42/bidder_sequencing_claim_validation/claim_summary.csv,secondary model-bucket analysis,w42; oracle,Proxy buckets: not applicable,"weighted_rows=not applicable, delta_mean_regret=not applicable, delta_match_rate=not applicable",w42/bidder_sequencing_claim_validation/claim_summary.csv; w42/bidder_sequencing_claim_validation/summary.json,Proxy bucket gains validate tag usefulness at most; paired sequence counterfactuals are missing.,Run trump-first/off-first paired rollouts and late-endgame proof checks.,not applicable,not applicable
