claim_id,family,ledger_status,completion_bucket,evidence_strength,phase4_next_bead,phase4_recommendation,ready_for_powered_test_phase2,testability_class_phase2,claim,headline_evidence,primary_artifacts_existing,ledger_evidence_artifacts,target_wiki_page_phase2,known_blocker_or_caveat,ledger_next_check,phase2_completion_evidence,phase2_likely_blockers
ch09-no-trump-separate-doubles-suit-variant,doubles/no-trump rules,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_ruleset_fixture,"No-trump with doubles as a separate suit is a non-standard variant gate, not standard no-trump.",Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/doubles_no_trump_claim_validation/summary.json; w42/doubles_no_trump_claim_validation/claim_ledger_delta.json; w42/doubles_no_trump_legacy_mining/summary.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/doubles_no_trump_claim_validation/ruleset_regime_checks.csv; w42/doubles_no_trump_claim_validation/summary.json,wiki/experiments/w42-doubles-no-trump-claim-validation.md,Report-only support does not imply broad policy optimality.,Keep as a regression fixture and add paired declaration rollouts for strategy choices.,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch09-doubles-trump-candidate-4plus,doubles/no-trump odds,context-limited,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.5,keep_open_under_phase4_5,needs_regime_generation,static_regime_substrate_needs_paired_regime_rollout,Four-plus doubles are a measurable candidate gate for doubles-as-trump hands.,Route to t42-br7n.5: doubles/no-trump paired-regime tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/doubles_no_trump_claim_validation/summary.json; w42/doubles_no_trump_claim_validation/claim_ledger_delta.json; w42/doubles_no_trump_legacy_mining/summary.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/doubles_no_trump_claim_validation/hand_regime_proxy_slices.csv; w42/doubles_no_trump_claim_validation/summary.json,wiki/experiments/w42-doubles-no-trump-claim-validation.md,No central ledger promotion without the owning phase-4 artifact.,Run paired doubles-trump versus no-trump rollouts.,Paired doubles-trump/no-trump declaration or play rollouts with regime-specific slices and legal-rule fixtures unchanged.,"Ruleset facts exist, but declaration choice and tactical play need paired regime rollouts."
ch09-no-trump-support-proxy,doubles/no-trump odds,underpowered,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.5,keep_open_under_phase4_5,needs_regime_generation,static_regime_substrate_needs_paired_regime_rollout,No-trump support can be approximated by static double/off support buckets.,Route to t42-br7n.5: doubles/no-trump paired-regime tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/doubles_no_trump_claim_validation/summary.json; w42/doubles_no_trump_claim_validation/claim_ledger_delta.json; w42/doubles_no_trump_legacy_mining/summary.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/doubles_no_trump_claim_validation/hand_regime_proxy_slices.csv; w42/doubles_no_trump_claim_validation/summary.json,wiki/experiments/w42-doubles-no-trump-claim-validation.md,No central ledger promotion without the owning phase-4 artifact.,Run paired doubles-trump versus no-trump rollouts.,Paired doubles-trump/no-trump declaration or play rollouts with regime-specific slices and legal-rule fixtures unchanged.,"Ruleset facts exist, but declaration choice and tactical play need paired regime rollouts."
ch09-regime-switch-proxy-nt-over-dt,doubles/no-trump odds,underpowered,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.5,keep_open_under_phase4_5,needs_regime_generation,static_regime_substrate_needs_paired_regime_rollout,Some four-plus-double hands are plausible no-trump-over-doubles-trump switch candidates.,Route to t42-br7n.5: doubles/no-trump paired-regime tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/doubles_no_trump_claim_validation/summary.json; w42/doubles_no_trump_claim_validation/claim_ledger_delta.json; w42/doubles_no_trump_legacy_mining/summary.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/doubles_no_trump_claim_validation/hand_regime_proxy_slices.csv; w42/doubles_no_trump_claim_validation/summary.json,wiki/experiments/w42-doubles-no-trump-claim-validation.md,No central ledger promotion without the owning phase-4 artifact.,Run paired doubles-trump versus no-trump rollouts.,Paired doubles-trump/no-trump declaration or play rollouts with regime-specific slices and legal-rule fixtures unchanged.,"Ruleset facts exist, but declaration choice and tactical play need paired regime rollouts."
ch09-five-doubles-opponent-void-prior,doubles/no-trump odds,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,needs_regime_generation,static_regime_substrate_needs_paired_regime_rollout,"With five doubles as trumps and only two missing doubles, it is roughly 80% likely that at least one opponent cannot follow doubles.",Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/doubles_no_trump_claim_validation/summary.json; w42/doubles_no_trump_claim_validation/claim_ledger_delta.json; w42/doubles_no_trump_legacy_mining/summary.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/statistics_claims_ledger/build_statistics_claims_ledger.py,wiki/experiments/w42-doubles-no-trump-claim-validation.md,Report-only support does not imply broad policy optimality.,Add paired declaration/play rollouts for the sample hand class.,Paired doubles-trump/no-trump declaration or play rollouts with regime-specific slices and legal-rule fixtures unchanged.,"Ruleset facts exist, but declaration choice and tactical play need paired regime rollouts."
ch10-score-mode-objective,scoring objective,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_objective_fixture,Marks change the scoring objective from captured hand points to hand-level make/set marks.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/claim_ledger_delta.json,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,Report-only support does not imply broad policy optimality.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.","Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch10-early-terminal-under-marks,scoring objective,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_objective_fixture,Marks create early terminal states once an ordinary contract is already made or impossible.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/claim_ledger_delta.json,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,Report-only support does not imply broad policy optimality.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.","Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch10-nonbidder-partial-points-erased,scoring objective,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_objective_fixture,Marks erase defender partial-point rewards when the bidder makes an ordinary contract.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/claim_ledger_delta.json,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,Report-only support does not imply broad policy optimality.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.","Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch10-set-severity-compression,scoring objective,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_objective_fixture,Ordinary mark scoring compresses many point-set severities into the same one-mark result.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/claim_ledger_delta.json,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,Report-only support does not imply broad policy optimality.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.","Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch10-special-bid-mark-multiplier,scoring objective,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_objective_fixture,84/126/168 scale to two/three/four marks while ordinary bids collapse to one mark.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/claim_ledger_delta.json,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,Report-only support does not imply broad policy optimality.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.","Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch10-low-bid-score-distortion,scoring objective,supported,complete_static_supported,deterministic_or_ruleset,none,close_as_already_supported,fixture_only,deterministic_objective_fixture,Low ordinary bids can create mark-score leads that overstate point-score separation.,Ledger already has deterministic/ruleset support.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/claim_ledger_delta.json,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,Report-only support does not imply broad policy optimality.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.","Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",No blocker for fixture use; blocker only applies if promoted into policy advice.
ch10-point-system-skill-signal,scoring objective,context-limited,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.3,keep_open_under_phase4_3,needs_simulation_design,policy_population_simulation_needed,Point scoring is a richer skill signal than marks.,Route to t42-br7n.3: scoring objective and tournament tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/claim_ledger_delta.json,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,No central ledger promotion without the owning phase-4 artifact.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.",Tournament or match simulation showing skill/speed/advancement deltas with policy-population and schedule assumptions.,Objective transforms are deterministic; claims about skill/speed/advancement need policy-population tournament data.
ch10-tournament-speed-tradeoff,scoring objective,context-limited,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.3,keep_open_under_phase4_3,needs_simulation_design,policy_population_simulation_needed,Marks speed tournaments through early termination and shorter matches.,Route to t42-br7n.3: scoring objective and tournament tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/claim_ledger_delta.json,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,No central ledger promotion without the owning phase-4 artifact.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.",Tournament or match simulation showing skill/speed/advancement deltas with policy-population and schedule assumptions.,Objective transforms are deterministic; claims about skill/speed/advancement need policy-population tournament data.
ch10-timed-marks-advancement-objective,scoring objective,context-limited,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.3,keep_open_under_phase4_3,needs_simulation_design,policy_population_simulation_needed,Timed competitions can make advancement probability the real objective.,Route to t42-br7n.3: scoring objective and tournament tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/claim_ledger_delta.json,w42/scoring_objective_drift_claim_validation/summary.json; w42/scoring_objective_drift_claim_validation/terminal_objective_transform.csv; w42/scoring_objective_drift_claim_validation/objective_thresholds.csv,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,No central ledger promotion without the owning phase-4 artifact.,"Use policy-population or tournament simulation for claims about skill, speed, or advancement.",Tournament or match simulation showing skill/speed/advancement deltas with policy-population and schedule assumptions.,Objective transforms are deterministic; claims about skill/speed/advancement need policy-population tournament data.
ch07-84-contract-regime,84 bidder/defender,context-limited,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.2,keep_open_under_phase4_2,needs_84_generation,static_84_substrate_needs_dynamic_rollout,84 is an all-seven-tricks contract with special scoring semantics.,Route to t42-br7n.2: 84 dynamic mined-seed action tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/eighty_four_seed_mining/summary.json; w42/eighty_four_seed_mining/surface_summary.csv; w42/eighty_four_claim_validation/summary.json; w42/eighty_four_claim_validation/claim_ledger_delta.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,No central ledger promotion without the owning phase-4 artifact.,Use 84-specific generated states and paired last-trick tests.,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.
ch07-protected-one-off-84-shape,84 bidder/defender,underpowered,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.2,keep_open_under_phase4_2,needs_84_generation,static_84_substrate_needs_dynamic_rollout,Protected one-off 84 shapes are strong enough to justify the 84 bidding advice.,Route to t42-br7n.2: 84 dynamic mined-seed action tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/eighty_four_seed_mining/summary.json; w42/eighty_four_seed_mining/surface_summary.csv; w42/eighty_four_claim_validation/summary.json; w42/eighty_four_claim_validation/claim_ledger_delta.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,No central ledger promotion without the owning phase-4 artifact.,Use 84-specific generated states and paired last-trick tests.,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.
ch07-straight-off-two-to-one-double,84 bidder/defender,context-limited,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.2,keep_open_under_phase4_2,needs_84_generation,static_84_substrate_needs_dynamic_rollout,A straight-off 84 is exposed to a two-to-one missing-double ownership prior.,Route to t42-br7n.2: 84 dynamic mined-seed action tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/eighty_four_seed_mining/summary.json; w42/eighty_four_seed_mining/surface_summary.csv; w42/eighty_four_claim_validation/summary.json; w42/eighty_four_claim_validation/claim_ledger_delta.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,No central ledger promotion without the owning phase-4 artifact.,Use 84-specific generated states and paired last-trick tests.,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.
ch07-score-42-vs-84-gate,84 bidder/defender,not-yet-tested,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.2,keep_open_under_phase4_2,needs_84_generation,static_84_substrate_needs_dynamic_rollout,"Near 250 points, the decision between bidding 42 and 84 should be score-gated.",Route to t42-br7n.2: 84 dynamic mined-seed action tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/eighty_four_seed_mining/summary.json; w42/eighty_four_seed_mining/surface_summary.csv; w42/eighty_four_claim_validation/summary.json; w42/eighty_four_claim_validation/claim_ledger_delta.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,No central ledger promotion without the owning phase-4 artifact.,Use 84-specific generated states and paired last-trick tests.,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.
ch08-one-to-four-last-trick-weapons,84 bidder/defender,context-limited,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.2,keep_open_under_phase4_2,needs_84_generation,static_84_substrate_needs_dynamic_rollout,Each opponent usually starts an 84 defense with one to four possible last-trick weapons.,Route to t42-br7n.2: 84 dynamic mined-seed action tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/eighty_four_seed_mining/summary.json; w42/eighty_four_seed_mining/surface_summary.csv; w42/eighty_four_claim_validation/summary.json; w42/eighty_four_claim_validation/claim_ledger_delta.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,No central ledger promotion without the owning phase-4 artifact.,Use 84-specific generated states and paired last-trick tests.,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.
ch08-double-ahead-needs-same-suit-pair,84 bidder/defender,underpowered,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.2,keep_open_under_phase4_2,needs_84_generation,static_84_substrate_needs_dynamic_rollout,"When the bidder has the double ahead of the off, defenders need a same-suit pair line.",Route to t42-br7n.2: 84 dynamic mined-seed action tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/eighty_four_seed_mining/summary.json; w42/eighty_four_seed_mining/surface_summary.csv; w42/eighty_four_claim_validation/summary.json; w42/eighty_four_claim_validation/claim_ledger_delta.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,No central ledger promotion without the owning phase-4 artifact.,Use 84-specific generated states and paired last-trick tests.,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.
ch08-abandon-dead-assets,84 bidder/defender,not-yet-tested,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.2,keep_open_under_phase4_2,needs_84_generation,static_84_substrate_needs_dynamic_rollout,A defender should abandon stopper assets once public evidence proves they are dead.,Route to t42-br7n.2: 84 dynamic mined-seed action tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/eighty_four_seed_mining/summary.json; w42/eighty_four_seed_mining/surface_summary.csv; w42/eighty_four_claim_validation/summary.json; w42/eighty_four_claim_validation/claim_ledger_delta.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,No central ledger promotion without the owning phase-4 artifact.,Use 84-specific generated states and paired last-trick tests.,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.
ch08-throwaway-priority-ladder,84 bidder/defender,not-yet-tested,active_phase4,needs_generated_or_dynamic_evidence,t42-br7n.2,keep_open_under_phase4_2,needs_84_generation,static_84_substrate_needs_dynamic_rollout,The 84 throwaway priority ladder preserves the right final-trick stopper.,Route to t42-br7n.2: 84 dynamic mined-seed action tests.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/eighty_four_seed_mining/summary.json; w42/eighty_four_seed_mining/surface_summary.csv; w42/eighty_four_claim_validation/summary.json; w42/eighty_four_claim_validation/claim_ledger_delta.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/eighty_four_claim_validation/claim_summary.csv; w42/eighty_four_claim_validation/summary.json,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,No central ledger promotion without the owning phase-4 artifact.,Use 84-specific generated states and paired last-trick tests.,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.
ch08-either-matching-double-not-two-to-one,stopper ownership,contradicted,complete_static_contradicted,direct_or_deterministic,none,close_as_contradicted,needs_84_generation,static_substrate_contradiction_then_dynamic_84_followup,The straight-off two-to-one ownership prior still holds when either of two matching doubles can set the bidder.,Ledger already marks this contradicted; keep as tested unless a new operational definition is proposed.,w42/claim_analysis_matrix/claim_analysis_matrix.csv; w42/claim_analysis_matrix/ready_powered_tests.csv; w42/claim_analysis_synthesis/claim_family_synthesis.csv; w42/claim_analysis_synthesis/summary.json; w42/eighty_four_seed_mining/summary.json; w42/eighty_four_seed_mining/surface_summary.csv; w42/eighty_four_claim_validation/summary.json; w42/eighty_four_claim_validation/claim_ledger_delta.json; w42/joined_claim_row_model_table/summary.json; w42/joined_claim_row_model_table/ablation_results.csv; w42/joined_claim_row_model_table/family_inventory.csv,w42/eighty_four_claim_validation/defender_last_trick_weapon_distribution.csv,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,Contradiction should be preserved unless a phase-4 worker explicitly redefines the claim.,Model final-off cases explicitly and separate named stopper from any-stopper claims.,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.
