claim_id,family,current_status,claim,current_evidence_mode,current_readiness,testability_class,proposed_operational_label,operational_definition,primary_data_source,required_fields,leakage_risks,likely_blockers,estimated_sample_power_need,power_bucket,ready_for_powered_test,next_experiment_bead,target_wiki_page,completion_evidence,notes
ch10-nonbidder-partial-points-erased,scoring objective,supported,Marks erase defender partial-point rewards when the bidder makes an ordinary contract.,deterministic scoring transform,enumeration; ruleset; report-only,deterministic_objective_fixture,ch10_nonbidder_partial_points_erased,"Terminal utility rows where defenders capture points but receive zero marks. Next test: Use policy-population or tournament simulation for claims about skill, speed, or advancement.",w42/scoring_objective_drift_claim_validation/; future tournament simulation,"terminal hand points; bid/contract; mark transform; match/tournament schedule for skill, speed, or advancement claims","Terminal and tournament outcomes are evaluation labels, not decision-time features.",No blocker for fixture use; blocker only applies if promoted into policy advice.,Deterministic transforms are complete; skill/speed/advancement claims need policy-population tournament simulation with match-level CIs.,simulation_needed,fixture_only,t42-0b4l.10; future tournament-simulation bead,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.","Current ledger result: See scoring transform tables; caveat: Supports terminal accounting, not whether defenders should chase points in a live state."
ch10-set-severity-compression,scoring objective,supported,Ordinary mark scoring compresses many point-set severities into the same one-mark result.,deterministic scoring transform,enumeration; ruleset; report-only,deterministic_objective_fixture,ch10_set_severity_compression,"Distinct ordinary point penalties collapsed to one mark on failed ordinary bids. Next test: Use policy-population or tournament simulation for claims about skill, speed, or advancement.",w42/scoring_objective_drift_claim_validation/; future tournament simulation,"terminal hand points; bid/contract; mark transform; match/tournament schedule for skill, speed, or advancement claims","Terminal and tournament outcomes are evaluation labels, not decision-time features.",No blocker for fixture use; blocker only applies if promoted into policy advice.,Deterministic transforms are complete; skill/speed/advancement claims need policy-population tournament simulation with match-level CIs.,simulation_needed,fixture_only,t42-0b4l.10; future tournament-simulation bead,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: See scoring transform tables; caveat: High-bid multipliers remain distinct; live-state pursuit of extra count is untested.
ch10-special-bid-mark-multiplier,scoring objective,supported,84/126/168 scale to two/three/four marks while ordinary bids collapse to one mark.,deterministic scoring transform,enumeration; ruleset; report-only,deterministic_objective_fixture,ch10_special_bid_mark_multiplier,"Multiplier table over report bids. Next test: Use policy-population or tournament simulation for claims about skill, speed, or advancement.",w42/scoring_objective_drift_claim_validation/; future tournament simulation,"terminal hand points; bid/contract; mark transform; match/tournament schedule for skill, speed, or advancement claims","Terminal and tournament outcomes are evaluation labels, not decision-time features.",No blocker for fixture use; blocker only applies if promoted into policy advice.,Deterministic transforms are complete; skill/speed/advancement claims need policy-population tournament simulation with match-level CIs.,simulation_needed,fixture_only,t42-0b4l.10; future tournament-simulation bead,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.","Current ledger result: See scoring transform tables; caveat: Validates objective scale only, not bid selection or make probability."
ch10-low-bid-score-distortion,scoring objective,supported,Low ordinary bids can create mark-score leads that overstate point-score separation.,deterministic scoring transform,enumeration; ruleset; report-only,deterministic_objective_fixture,ch10_low_bid_score_distortion,"Synthetic scoreboard replay including three barely made 30 bids. Next test: Use policy-population or tournament simulation for claims about skill, speed, or advancement.",w42/scoring_objective_drift_claim_validation/; future tournament simulation,"terminal hand points; bid/contract; mark transform; match/tournament schedule for skill, speed, or advancement claims","Terminal and tournament outcomes are evaluation labels, not decision-time features.",No blocker for fixture use; blocker only applies if promoted into policy advice.,Deterministic transforms are complete; skill/speed/advancement claims need policy-population tournament simulation with match-level CIs.,simulation_needed,fixture_only,t42-0b4l.10; future tournament-simulation bead,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,"Regenerate exact fixture, validate row count/percentages, and keep as report-only support unless a separate policy test exists.",Current ledger result: See scoring transform tables; caveat: Synthetic examples validate the transform; frequency in generated or human games is unmeasured.
ch10-point-system-skill-signal,scoring objective,underpowered,Point scoring is a richer skill signal than marks.,deterministic scoring transform,enumeration; ruleset; report-only,policy_population_simulation_needed,ch10_point_system_skill_signal,"Requires policy population separation under both objectives. Next test: Use policy-population or tournament simulation for claims about skill, speed, or advancement.",w42/scoring_objective_drift_claim_validation/; future tournament simulation,"terminal hand points; bid/contract; mark transform; match/tournament schedule for skill, speed, or advancement claims","Terminal and tournament outcomes are evaluation labels, not decision-time features.",Objective transforms are deterministic; claims about skill/speed/advancement need policy-population tournament data.,Deterministic transforms are complete; skill/speed/advancement claims need policy-population tournament simulation with match-level CIs.,simulation_needed,needs_simulation_design,t42-0b4l.10; future tournament-simulation bead,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,Tournament or match simulation showing skill/speed/advancement deltas with policy-population and schedule assumptions.,"Current ledger result: See scoring transform tables; caveat: No policy population, oracle arena, or human/tournament data was run."
ch10-tournament-speed-tradeoff,scoring objective,context-limited,Marks speed tournaments through early termination and shorter matches.,deterministic scoring transform,enumeration; ruleset; report-only,policy_population_simulation_needed,ch10_tournament_speed_tradeoff,"Early-terminal arithmetic plus saved-trick upper-bound table. Next test: Use policy-population or tournament simulation for claims about skill, speed, or advancement.",w42/scoring_objective_drift_claim_validation/; future tournament simulation,"terminal hand points; bid/contract; mark transform; match/tournament schedule for skill, speed, or advancement claims","Terminal and tournament outcomes are evaluation labels, not decision-time features.",Objective transforms are deterministic; claims about skill/speed/advancement need policy-population tournament data.,Deterministic transforms are complete; skill/speed/advancement claims need policy-population tournament simulation with match-level CIs.,simulation_needed,needs_simulation_design,t42-0b4l.10; future tournament-simulation bead,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,Tournament or match simulation showing skill/speed/advancement deltas with policy-population and schedule assumptions.,Current ledger result: See scoring transform tables; caveat: Arithmetic supports possible saved tricks; real speed requires play-time or tournament simulation.
ch10-timed-marks-advancement-objective,scoring objective,not-yet-tested,Timed competitions can make advancement probability the real objective.,deterministic scoring transform,enumeration; ruleset; report-only,policy_population_simulation_needed,ch10_timed_marks_advancement_objective,"Tournament bracket or timed-round simulation. Next test: Use policy-population or tournament simulation for claims about skill, speed, or advancement.",w42/scoring_objective_drift_claim_validation/; future tournament simulation,"terminal hand points; bid/contract; mark transform; match/tournament schedule for skill, speed, or advancement claims","Terminal and tournament outcomes are evaluation labels, not decision-time features.",Objective transforms are deterministic; claims about skill/speed/advancement need policy-population tournament data.,Deterministic transforms are complete; skill/speed/advancement claims need policy-population tournament simulation with match-level CIs.,simulation_needed,needs_simulation_design,t42-0b4l.10; future tournament-simulation bead,wiki/experiments/w42-scoring-objective-drift-claim-validation.md,Tournament or match simulation showing skill/speed/advancement deltas with policy-population and schedule assumptions.,"Current ledger result: See scoring transform tables; caveat: This report did not simulate brackets, clocks, or tiebreak populations."
ch07-84-contract-regime,84 bidder/defender,context-limited,84 is an all-seven-tricks contract with special scoring semantics.,exact static enumeration / hypergeometric proxy,enumeration; report-only,static_84_substrate_needs_dynamic_rollout,ch07_84_contract_regime,rules/source-backed; no engine score replay in this bead Next test: Use 84-specific generated states and paired last-trick tests.,w42/eighty_four_claim_validation/; w42/eighty_four_weapon_preservation_probe/; future 84-specific branch-atlas or rollout corpus,84 contract flag; score; bidder hand and offs; full public trick history; stopper candidates; live/dead asset state; final-trick action labels; q_per_world/world_hands for offline attribution,Hidden stopper ownership and future asset death are report labels only; live detectors may use only public play evidence and the actor hand.,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.,Generate or mine 84-specific decisions; target >=1000 candidate 84 decision states and >=200 paired stopper/asset-preservation contrasts per label.,new_dynamic_data,needs_84_generation,t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Current ledger result: bidder claim; rules/source-backed; no engine score replay in this bead.
ch07-protected-one-off-84-shape,84 bidder/defender,underpowered,Protected one-off 84 shapes are strong enough to justify the 84 bidding advice.,exact static enumeration / hypergeometric proxy,enumeration; report-only,static_84_substrate_needs_dynamic_rollout,ch07_protected_one_off_84_shape,exact hand/declaration shape count; no make/set rollout Next test: Use 84-specific generated states and paired last-trick tests.,w42/eighty_four_claim_validation/; w42/eighty_four_weapon_preservation_probe/; future 84-specific branch-atlas or rollout corpus,84 contract flag; score; bidder hand and offs; full public trick history; stopper candidates; live/dead asset state; final-trick action labels; q_per_world/world_hands for offline attribution,Hidden stopper ownership and future asset death are report labels only; live detectors may use only public play evidence and the actor hand.,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.,Generate or mine 84-specific decisions; target >=1000 candidate 84 decision states and >=200 paired stopper/asset-preservation contrasts per label.,new_dynamic_data,needs_84_generation,t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Current ledger result: bidder claim; exact hand/declaration shape count; no make/set rollout.
ch07-straight-off-two-to-one-double,84 bidder/defender,context-limited,A straight-off 84 is exposed to a two-to-one missing-double ownership prior.,exact static enumeration / hypergeometric proxy,enumeration; report-only,static_84_substrate_needs_dynamic_rollout,ch07_straight_off_two_to_one_double,exact opponent-team ownership odds for a named missing matching double Next test: Use 84-specific generated states and paired last-trick tests.,w42/eighty_four_claim_validation/; w42/eighty_four_weapon_preservation_probe/; future 84-specific branch-atlas or rollout corpus,84 contract flag; score; bidder hand and offs; full public trick history; stopper candidates; live/dead asset state; final-trick action labels; q_per_world/world_hands for offline attribution,Hidden stopper ownership and future asset death are report labels only; live detectors may use only public play evidence and the actor hand.,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.,Generate or mine 84-specific decisions; target >=1000 candidate 84 decision states and >=200 paired stopper/asset-preservation contrasts per label.,new_dynamic_data,needs_84_generation,t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Current ledger result: bidder claim; exact opponent-team ownership odds for a named missing matching double.
ch07-score-42-vs-84-gate,84 bidder/defender,not-yet-tested,"Near 250 points, the decision between bidding 42 and 84 should be score-gated.",exact static enumeration / hypergeometric proxy,enumeration; report-only,static_84_substrate_needs_dynamic_rollout,ch07_score_42_vs_84_gate,not measured Next test: Use 84-specific generated states and paired last-trick tests.,w42/eighty_four_claim_validation/; w42/eighty_four_weapon_preservation_probe/; future 84-specific branch-atlas or rollout corpus,84 contract flag; score; bidder hand and offs; full public trick history; stopper candidates; live/dead asset state; final-trick action labels; q_per_world/world_hands for offline attribution,Hidden stopper ownership and future asset death are report labels only; live detectors may use only public play evidence and the actor hand.,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.,Generate or mine 84-specific decisions; target >=1000 candidate 84 decision states and >=200 paired stopper/asset-preservation contrasts per label.,new_dynamic_data,needs_84_generation,t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Current ledger result: bidder claim; not measured.
ch08-one-to-four-last-trick-weapons,84 bidder/defender,context-limited,Each opponent usually starts an 84 defense with one to four possible last-trick weapons.,exact static enumeration / hypergeometric proxy,enumeration; report-only,static_84_substrate_needs_dynamic_rollout,ch08_one_to_four_last_trick_weapons,exact static weapon-pool distribution by final-off case Next test: Use 84-specific generated states and paired last-trick tests.,w42/eighty_four_claim_validation/; w42/eighty_four_weapon_preservation_probe/; future 84-specific branch-atlas or rollout corpus,84 contract flag; score; bidder hand and offs; full public trick history; stopper candidates; live/dead asset state; final-trick action labels; q_per_world/world_hands for offline attribution,Hidden stopper ownership and future asset death are report labels only; live detectors may use only public play evidence and the actor hand.,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.,Generate or mine 84-specific decisions; target >=1000 candidate 84 decision states and >=200 paired stopper/asset-preservation contrasts per label.,new_dynamic_data,needs_84_generation,t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Current ledger result: defender claim; exact static weapon-pool distribution by final-off case.
ch08-double-ahead-needs-same-suit-pair,84 bidder/defender,underpowered,"When the bidder has the double ahead of the off, defenders need a same-suit pair line.",exact static enumeration / hypergeometric proxy,enumeration; report-only,static_84_substrate_needs_dynamic_rollout,ch08_double_ahead_needs_same_suit_pair,exact same-suit pair pool size/probability proxy Next test: Use 84-specific generated states and paired last-trick tests.,w42/eighty_four_claim_validation/; w42/eighty_four_weapon_preservation_probe/; future 84-specific branch-atlas or rollout corpus,84 contract flag; score; bidder hand and offs; full public trick history; stopper candidates; live/dead asset state; final-trick action labels; q_per_world/world_hands for offline attribution,Hidden stopper ownership and future asset death are report labels only; live detectors may use only public play evidence and the actor hand.,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.,Generate or mine 84-specific decisions; target >=1000 candidate 84 decision states and >=200 paired stopper/asset-preservation contrasts per label.,new_dynamic_data,needs_84_generation,t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Current ledger result: defender claim; exact same-suit pair pool size/probability proxy.
ch08-abandon-dead-assets,84 bidder/defender,not-yet-tested,A defender should abandon stopper assets once public evidence proves they are dead.,exact static enumeration / hypergeometric proxy,enumeration; report-only,static_84_substrate_needs_dynamic_rollout,ch08_abandon_dead_assets,detector trigger table only Next test: Use 84-specific generated states and paired last-trick tests.,w42/eighty_four_claim_validation/; w42/eighty_four_weapon_preservation_probe/; future 84-specific branch-atlas or rollout corpus,84 contract flag; score; bidder hand and offs; full public trick history; stopper candidates; live/dead asset state; final-trick action labels; q_per_world/world_hands for offline attribution,Hidden stopper ownership and future asset death are report labels only; live detectors may use only public play evidence and the actor hand.,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.,Generate or mine 84-specific decisions; target >=1000 candidate 84 decision states and >=200 paired stopper/asset-preservation contrasts per label.,new_dynamic_data,needs_84_generation,t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Current ledger result: defender claim; detector trigger table only.
ch08-throwaway-priority-ladder,84 bidder/defender,not-yet-tested,The 84 throwaway priority ladder preserves the right final-trick stopper.,exact static enumeration / hypergeometric proxy,enumeration; report-only,static_84_substrate_needs_dynamic_rollout,ch08_throwaway_priority_ladder,not measured Next test: Use 84-specific generated states and paired last-trick tests.,w42/eighty_four_claim_validation/; w42/eighty_four_weapon_preservation_probe/; future 84-specific branch-atlas or rollout corpus,84 contract flag; score; bidder hand and offs; full public trick history; stopper candidates; live/dead asset state; final-trick action labels; q_per_world/world_hands for offline attribution,Hidden stopper ownership and future asset death are report labels only; live detectors may use only public play evidence and the actor hand.,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.,Generate or mine 84-specific decisions; target >=1000 candidate 84 decision states and >=200 paired stopper/asset-preservation contrasts per label.,new_dynamic_data,needs_84_generation,t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Current ledger result: defender claim; not measured.
ch08-either-matching-double-not-two-to-one,stopper ownership,contradicted,The straight-off two-to-one ownership prior still holds when either of two matching doubles can set the bidder.,exact hypergeometric ownership check,enumeration; report-only,static_substrate_contradiction_then_dynamic_84_followup,ch08_either_matching_double_not_two_to_one,Compare opponent-team ownership for one named matching double versus either of two matching doubles. Next test: Model final-off cases explicitly and separate named stopper from any-stopper claims.,w42/eighty_four_claim_validation/; future 84 branch-atlas or rollout corpus,84/off suit context; named stopper candidates; any-stopper set; hidden holder labels for offline checks; public live/dead evidence,True hidden stopper owners are offline diagnostics; live play can only use public evidence/beliefs.,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.,Needs 84-specific final-off/stopper states; target >=500 paired preserve/break/abandon contrasts.,new_dynamic_data,needs_84_generation,t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Current ledger result: Named double opponent-team ownership = 66.666667%; either of two matching doubles = 90.0%.
ch07-protected-one-off-shape-frequency,84 bidder/defender,underpowered,Typical 84 candidate shapes with one protected off are available often enough to support the bidding advice.,exact static enumeration,enumeration; oracle,static_84_substrate_needs_dynamic_rollout,ch07_protected_one_off_shape_frequency,Count hand/declaration pairs with one off and protected one-off structure. Next test: Run make/set rollouts for score-gated 84 candidate states.,w42/eighty_four_claim_validation/; w42/eighty_four_weapon_preservation_probe/; future 84-specific branch-atlas or rollout corpus,84 contract flag; score; bidder hand and offs; full public trick history; stopper candidates; live/dead asset state; final-trick action labels; q_per_world/world_hands for offline attribution,Hidden stopper ownership and future asset death are report labels only; live detectors may use only public play evidence and the actor hand.,Needs 84-specific dynamic states; static ownership/asset counts do not prove preservation or abandonment timing.,Generate or mine 84-specific decisions; target >=1000 candidate 84 decision states and >=200 paired stopper/asset-preservation contrasts per label.,new_dynamic_data,needs_84_generation,t42-0b4l.7,wiki/experiments/w42-84-claim-validation.md; wiki/experiments/w42-phase2-84-weapon-preservation-probe.md,"84-specific paired preserve/break/abandon tests with stopper survival labels, hidden-holder diagnostics, public-evidence examples, and CIs.",Current ledger result: One-off candidate shape = 2.173913% of hand/declaration pairs; protected one off = 1.588629%.
ch04-safe-partner-count-donation,partner support,context-limited,Safe count donation under current bidder-team trick control is better than same-decision alternatives.,direct role-gated corpus contrast,w42; oracle; gus,direct_action_contrast_needs_stronger_labels,ch04_safe_partner_count_donation,Paired same-decision E[Q] contrast over Gus v2 pip-declaration corpus. Next test: Add guaranteed-win strength and later-seat overtake labels before broad partner-support promotion.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt,role; current trick; current winner; legal actions; count value; partner/offense control; later-seat overtake risk; guaranteed-win label; q_per_world,"Partner/opponent private hands, guaranteed future win, and q_per_world are labels only; live tags must be public-context or learned-belief derived.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per donation/support label and explicit later-seat safety slices.,powered_slice,needs_label_refinement,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-partner-support-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: direct paired_n=400, mean_delta=0.682629239037633, ci95=[0.1467387869227678, 1.2317096571391446], threshold_mass_delta=0.006550001837313175"
ch04-low-trump-trap-against-count-dump,partner support,underpowered,Partner donation without trump-in versus count dumped while trumping in,proxy regret analysis,w42; oracle,direct_detector_or_paired_contrast_needed,ch04_low_trump_trap_against_count_dump,Bootstrap CIs over available eval-corpus proxy buckets. Next test: Implement direct partner-intent and forcedness detectors before moving statuses broadly.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt,role; current trick; current winner; legal actions; count value; partner/offense control; later-seat overtake risk; guaranteed-win label; q_per_world,"Partner/opponent private hands, guaranteed future win, and q_per_world are labels only; live tags must be public-context or learned-belief derived.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per donation/support label and explicit later-seat safety slices.,powered_slice,needs_detector_implementation,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-partner-support-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: preferred_n=24, alternative_n=7, paired_n=0, paired_delta=not applicable"
ch04-lead-capture-for-support,partner support,underpowered,Winning the current trick versus non-winning alternatives,proxy regret analysis,w42; oracle,direct_detector_or_paired_contrast_needed,ch04_lead_capture_for_support,Bootstrap CIs over available eval-corpus proxy buckets. Next test: Implement direct partner-intent and forcedness detectors before moving statuses broadly.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt,role; current trick; current winner; legal actions; count value; partner/offense control; later-seat overtake risk; guaranteed-win label; q_per_world,"Partner/opponent private hands, guaranteed future win, and q_per_world are labels only; live tags must be public-context or learned-belief derived.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per donation/support label and explicit later-seat safety slices.,powered_slice,needs_detector_implementation,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-partner-support-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: preferred_n=56, alternative_n=1463, paired_n=43, paired_delta=2.219728"
ch04-effective-double-highest-remaining,partner support,contradicted,Virtual boss off-suit tile versus lower live off-suit tile,proxy regret analysis,w42; oracle,direct_detector_or_paired_contrast_needed,ch04_effective_double_highest_remaining,Bootstrap CIs over available eval-corpus proxy buckets. Next test: Implement direct partner-intent and forcedness detectors before moving statuses broadly.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt,role; current trick; current winner; legal actions; count value; partner/offense control; later-seat overtake risk; guaranteed-win label; q_per_world,"Partner/opponent private hands, guaranteed future win, and q_per_world are labels only; live tags must be public-context or learned-belief derived.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per donation/support label and explicit later-seat safety slices.,powered_slice,needs_detector_implementation,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-partner-support-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: preferred_n=60, alternative_n=541, paired_n=21, paired_delta=2.299316"
ch04-lead-away-from-count-damage,partner support,underpowered,Low-liability off lead versus count-exposing off lead,proxy regret analysis,w42; oracle,direct_detector_or_paired_contrast_needed,ch04_lead_away_from_count_damage,Bootstrap CIs over available eval-corpus proxy buckets. Next test: Implement direct partner-intent and forcedness detectors before moving statuses broadly.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt,role; current trick; current winner; legal actions; count value; partner/offense control; later-seat overtake risk; guaranteed-win label; q_per_world,"Partner/opponent private hands, guaranteed future win, and q_per_world are labels only; live tags must be public-context or learned-belief derived.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per donation/support label and explicit later-seat safety slices.,powered_slice,needs_detector_implementation,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-partner-support-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: preferred_n=82, alternative_n=157, paired_n=22, paired_delta=-2.227684"
ch04-avoid-disruptive-partner-trump-lead,partner support,underpowered,Off lead versus trump lead from lead position,proxy regret analysis,w42; oracle,direct_detector_or_paired_contrast_needed,ch04_avoid_disruptive_partner_trump_lead,Bootstrap CIs over available eval-corpus proxy buckets. Next test: Implement direct partner-intent and forcedness detectors before moving statuses broadly.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt,role; current trick; current winner; legal actions; count value; partner/offense control; later-seat overtake risk; guaranteed-win label; q_per_world,"Partner/opponent private hands, guaranteed future win, and q_per_world are labels only; live tags must be public-context or learned-belief derived.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per donation/support label and explicit later-seat safety slices.,powered_slice,needs_detector_implementation,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-partner-support-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: preferred_n=239, alternative_n=59, paired_n=36, paired_delta=0.362235"
ch04-unsafe-partner-count-donation,partner support,supported,The bidder's partner should not donate count into a defense-controlled trick that the candidate cannot win.,direct role-gated corpus contrast,w42; oracle; gus,direct_action_contrast_ready_for_replication,ch04_unsafe_partner_count_donation,Paired same-decision E[Q] contrast over Gus v2 pip-declaration corpus. Next test: Add guaranteed-win strength labels for the positive safe-donation rule.,w42/gus_corpus_claim_deep_dive/; gus/data/corpus_v2_train_*_d0-9.pt,role; current trick; current winner; legal actions; count value; partner/offense control; later-seat overtake risk; guaranteed-win label; q_per_world,"Partner/opponent private hands, guaranteed future win, and q_per_world are labels only; live tags must be public-context or learned-belief derived.","Needs the reusable harness plus stronger forcedness, guaranteed-control, later-seat-risk, and bid-margin slices.",Reuse Gus v2 corpus; target >=500 same-decision pairs per donation/support label and explicit later-seat safety slices.,powered_slice,yes_after_harness,t42-0b4l.3; t42-0b4l.6,wiki/experiments/w42-partner-support-claim-validation.md; wiki/experiments/w42-gus-corpus-tactical-claim-deep-dive.md,"Paired same-decision contrasts with bootstrap CIs, declaration/seat/trick slices, example decisions, W&B progress series, and conservative ledger update.","Current ledger result: paired_n=559, mean_delta=-8.428134944293255, ci95=[-9.268463332229336, -7.612516224666788], threshold_mass_delta=-0.13218246836195266"
